latency(lag),total size,packet,time_stamp,err_rate
5153,37748539709,100000032,16.24,0
5156,37753353759,100000032,32.47,0
5164,37753725851,100000032,48.70,0
5175,37763047854,100000032,64.94,0
5180,37764483141,100000032,81.18,0
5180,37760878499,100000032,97.42,0
5184,37762635940,100000032,113.66,0
5187,37761363885,100000032,129.90,0
5190,37766581952,100000032,146.14,0
5193,37770039750,100000032,162.39,0
5193,37771071953,100000032,178.63,0
5192,37770241299,100000032,194.88,0
5195,37774072083,100000032,211.14,0
5200,37776951423,100000032,227.39,0
5199,37773860950,100000032,243.64,0
5199,37774792126,100000032,259.89,0
5200,37779187955,100000032,276.15,0
5204,37780586753,100000032,292.41,0
5203,37779149041,100000032,308.67,0
5203,37782212382,100000032,324.93,0
5203,37783405350,100000032,341.19,0
5203,37782826015,100000032,357.46,0
5203,37782419463,100000032,373.71,0
5204,37784957482,100000032,389.98,0
5203,37783184004,100000032,406.24,0
5209,37783301913,100000032,422.51,0
5211,37784461736,100000032,438.78,0
5211,37786160372,100000032,455.03,0
5211,37784248082,100000032,471.30,0
5211,37782967911,100000032,487.56,0
5211,37780778119,100000032,503.82,0
5211,37783791046,100000032,520.09,0
5216,37792749287,100000032,536.37,0
5218,37793786407,100000032,552.64,0
5220,37795437838,100000032,568.92,0
5221,37794084891,100000032,585.19,0
5221,37794856222,100000032,601.47,0
5224,37797508138,100000032,617.75,0
5226,37801076238,100000032,634.03,0
5225,37798855332,100000032,650.31,0
5225,37801371981,100000032,666.60,0
5221,37797156028,100000032,682.88,0
5221,37796133353,100000032,699.16,0
5221,37796985495,100000032,715.43,0
5223,37798578835,100000032,731.72,0
5222,37798846472,100000032,747.99,0
5222,37801399062,100000032,764.28,0
5222,37802089727,100000032,780.56,0
5220,37800229232,100000032,796.84,0
5220,37800653580,100000032,813.13,0
5227,37803915375,100000032,829.41,0
5229,37808426461,100000032,845.70,0
5229,37809698506,100000032,862.00,0
5228,37807366221,100000032,878.29,0
5227,37809169137,100000032,894.59,0
5228,37810544434,100000032,910.88,0
5228,37810367009,100000032,927.18,0
5228,37809880993,100000032,943.47,0
5231,37814135627,100000032,959.77,0
5229,37812081479,100000032,976.06,0
5227,37808213293,100000032,992.35,0
5228,37806799286,100000032,1008.65,0
5230,37809178080,100000032,1024.94,0
5228,37804202542,100000032,1041.22,0
5229,37806684341,100000032,1057.52,0
5228,37806741031,100000032,1073.80,0
5229,37807705655,100000032,1090.10,0
5233,37806497841,100000032,1106.39,0
5235,37806455556,100000032,1122.67,0
5235,37805364950,100000032,1138.97,0
5234,37803647899,100000032,1155.25,0
5233,37802829347,100000032,1171.53,0
5234,37803988640,100000032,1187.83,0
5238,37809204966,100000032,1204.11,0
5238,37805334596,100000032,1220.41,0
5240,37808366079,100000032,1236.71,0
5237,37806227345,100000032,1252.99,0
5236,37804834188,100000032,1269.28,0
5235,37807798899,100000032,1285.57,0
5234,37805047335,100000032,1301.86,0
5235,37804507809,100000032,1318.15,0
5236,37808049777,100000032,1334.44,0
5235,37808410298,100000032,1350.73,0
5234,37807712545,100000032,1367.02,0
5233,37807438690,100000032,1383.32,0
5233,37808009033,100000032,1399.61,0
5232,37808644755,100000032,1415.90,0
5232,37807618707,100000032,1432.19,0
5233,37810106535,100000032,1448.48,0
5234,37810945748,100000032,1464.78,0
5232,37810990169,100000032,1481.08,0
5232,37812252432,100000032,1497.37,0
5232,37812115934,100000032,1513.67,0
5232,37810713332,100000032,1529.96,0
5233,37814900262,100000032,1546.26,0
5232,37810644787,100000032,1562.56,0
5232,37809447610,100000032,1578.86,0
5233,37809068494,100000032,1595.15,0
5233,37809150612,100000032,1611.43,0
5232,37808011335,100000032,1627.73,0
5241,37812716981,100000032,1644.03,0
5241,37813703348,100000032,1660.32,0
5241,37812447178,100000032,1676.62,0
5243,37811711022,100000032,1692.92,0
5244,37813732793,100000032,1709.22,0
5243,37808616101,100000032,1725.51,0
5241,37805586759,100000032,1741.80,0
5241,37805459425,100000032,1758.08,0
5241,37805681425,100000032,1774.37,0
