latency(lag),total size,packet,time_stamp,err_count,success_count
3776,37610487928,100000004,32.13,0,99544018
3781,37610268740,100000004,64.26,0,99543991
3795,37609944027,100000012,96.38,0,99543986
3793,37609695572,100000008,128.50,0,99543968
3800,37610540121,100000004,160.63,0,99543922
3800,37610305662,100000004,192.75,0,99543987
3801,37610166921,100000004,224.87,0,99543963
3808,37610325824,100000004,256.99,0,99544022
3814,37609986352,100000004,289.12,0,99543960
3811,37609931255,100000004,321.25,0,99543973
3813,37609689374,100000008,353.37,0,99543967
3809,37610508244,100000004,385.49,0,99543933
3811,37610599592,100000008,417.62,0,99543998
3814,37610265387,100000004,449.74,0,99543979
3817,37610385991,100000004,481.86,0,99543995
3817,37609697761,100000004,513.99,0,99543967
3816,37609787489,100000008,546.12,0,99543984
3821,37610103634,100000004,578.24,0,99543934
3820,37610582830,100000002,610.36,0,99543942
3818,37610376682,100000002,642.49,0,99543983
3817,37610122369,100000004,674.61,0,99544016
3821,37610236391,100000002,706.74,0,99543983
3820,37609967759,100000006,738.86,0,99543966
3820,37609686637,100000004,770.98,0,99543981
3820,37610513655,100000012,803.10,0,99543930
3821,37610278045,100000004,835.22,0,99543970
3822,37610155049,100000008,867.36,0,99543978
3828,37610365930,100000004,899.48,0,99544033
3828,37610032845,100000004,931.60,0,99543954
3827,37609923405,100000004,963.72,0,99543976
3829,37609663566,100000004,995.84,0,99543958
3821,37610626435,100000004,1027.97,0,99543928
3825,37610528602,100000004,1060.09,0,99544002
3827,37610183279,100000004,1092.22,0,99543973
3831,37610352072,100000004,1124.35,0,99543997
3831,37609771642,100000004,1156.47,0,99543975
3832,37609798907,100000004,1188.59,0,99543978
3832,37609962428,100000012,1220.71,0,99543941
3831,37610646621,100000012,1252.83,0,99543951
3833,37610358586,100000012,1284.96,0,99543992
3831,37610239986,100000004,1317.08,0,99544014
3831,37610259329,100000004,1349.21,0,99543989
3832,37609857706,100000020,1381.34,0,99543972
3836,37609752492,100000006,1413.46,0,99543979
3835,37610447094,100000002,1445.58,0,99543930
3832,37610313832,100000004,1477.70,0,99543966
3830,37610094970,100000004,1509.83,0,99543968
3838,37610391784,100000004,1541.96,0,99544020
3833,37610102178,100000008,1574.08,0,99543983
3833,37609913212,100000008,1606.20,0,99543981
3833,37609680535,100000004,1638.33,0,99543959
3831,37610575763,100000004,1670.46,0,99543930
3833,37610509620,100000008,1702.58,0,99543997
3828,37610198883,100000006,1734.70,0,99543974
3838,37610324032,100000002,1766.83,0,99543999
3841,37609830293,100000008,1798.95,0,99543984
3840,37609813175,100000004,1831.08,0,99543966
3839,37609910803,100000004,1863.20,0,99543946
3840,37610619784,100000020,1895.33,0,99543953
3834,37610358444,100000004,1927.45,0,99543985
3840,37610346863,100000004,1959.57,0,99544012
3837,37610091526,100000008,1991.69,0,99543991
3839,37610013370,100000008,2023.81,0,99543965
3842,37609818092,100000004,2055.94,0,99543978
3840,37610250275,100000004,2088.06,0,99543934
3840,37610472815,100000004,2120.19,0,99543963
3840,37609992979,100000012,2152.31,0,99543970
3840,37610354956,100000008,2184.44,0,99544031
3840,37610238669,100000004,2216.56,0,99543974
3844,37609906008,100000004,2248.68,0,99543984
3844,37609615271,100000004,2280.81,0,99543954
3844,37610580581,100000004,2312.93,0,99543921
3842,37610441677,100000004,2345.05,0,99544001
3844,37610334060,100000008,2377.18,0,99543973
3844,37610220937,100000008,2409.30,0,99544012
3843,37609869447,100000004,2441.42,0,99543974
3844,37609883295,100000012,2473.56,0,99543977
3844,37609895270,100000016,2505.67,0,99543963
3845,37610498784,100000004,2537.80,0,99543925
3845,37610574001,100000004,2569.92,0,99543996
3844,37610229773,100000012,2602.05,0,99544016
3956,37610116861,100000016,2634.17,0,99543995
3855,37610046891,100000004,2666.30,0,99543966
3849,37609808486,100000004,2698.42,0,99543973
3846,37610087665,100000008,2730.54,0,99543946
3849,37610475681,100000016,2762.67,0,99543973
3846,37610105551,100000008,2794.79,0,99543964
3845,37610253603,100000008,2826.92,0,99544026
3844,37610318410,100000002,2859.04,0,99543976
3848,37609913358,100000002,2891.16,0,99543977
3848,37609741406,100000008,2923.29,0,99543966
3844,37610572821,100000012,2955.42,0,99543928
3845,37610279172,100000004,2987.54,0,99544001
3840,37610351702,100000004,3019.66,0,99543965
3847,37610240500,100000004,3051.79,0,99544014
3849,37609874536,100000008,3083.91,0,99543978
3845,37609878693,100000004,3116.03,0,99543964
3844,37609876327,100000004,3148.16,0,99543955
3843,37610519000,100000003,3180.28,0,99543926
3847,37610552467,100000005,3212.40,0,99543992
3845,37610202878,100000012,3244.53,0,99544021
3844,37610130271,100000008,3276.65,0,99543978
3849,37610046987,100000012,3308.78,0,99543981
3847,37609751928,100000004,3340.90,0,99543963
3845,37610110450,100000008,3373.03,0,99543954
