packet_per_cycle,total size,packet,time_stamp,err_count,success_count
5028,37615302604,100000004,1597982070,0,99532447
5029,37610380345,100000012,1597982086,0,99544052
5038,37610304376,100000008,1597982102,0,99543935
5049,37610185595,100000024,1597982118,0,99544021
5056,37610266940,100000032,1597982134,0,99544050
5068,37610268513,100000007,1597982150,0,99543989
5071,37610254597,100000021,1597982166,0,99543993
5069,37609792823,100000028,1597982182,0,99544012
5073,37609824701,100000020,1597982198,0,99543978
5078,37610006596,100000012,1597982214,0,99543968
5087,37609705154,100000016,1597982230,0,99543975
5091,37613318863,100000008,1597982247,0,99543957
5092,37610365243,100000008,1597982263,0,99543953
5088,37610025793,100000024,1597982279,0,99543989
5090,37610662506,100000004,1597982295,0,99543968
5090,37610226130,100000016,1597982311,0,99543948
5093,37610463583,100000013,1597982327,0,99544007
