latency(lag),total size,packet,time_stamp,err_count,success_count
3784,37610838110,100000004,32.13,810991,98732988
3793,37609818006,100000004,64.25,812529,98731432
3802,37610068068,100000008,96.37,812928,98731027
3803,37610600257,100000004,128.49,812928,98731031
3808,37610296842,100000004,160.61,812923,98731032
3810,37610137619,100000003,192.72,812875,98731139
3810,37610240001,100000001,224.84,812612,98731377
3816,37609978349,100000004,256.96,810966,98733009
3818,37609708004,100000008,289.08,812928,98731043
3820,37610520362,100000012,321.19,812928,98731001
3820,37610319680,100000004,353.32,812928,98731054
3820,37610143498,100000004,385.43,812914,98731056
3848,37610369149,100000004,417.56,812867,98731155
3897,37609953182,100000004,449.68,812054,98731906
3829,37609952438,100000004,481.80,811541,98732432
3824,37609675650,100000004,513.92,812928,98731035
3826,37610541555,100000004,546.03,812928,98731003
3829,37610577841,100000004,578.15,812928,98731065
3829,37610260744,100000004,610.27,812885,98731093
3828,37610371299,100000008,642.38,812850,98731149
3829,37609709812,100000008,674.51,811403,98732572
3830,37609812165,100000004,706.62,812238,98731742
3829,37610054980,100000012,738.74,812928,98731010
3829,37610594290,100000004,770.86,812928,98731020
3829,37610369585,100000004,802.98,812923,98731062
3829,37610127692,100000012,835.10,812878,98731143
3829,37610270621,100000008,867.21,812679,98731313
3829,37609965046,100000016,899.34,810940,98733033
3835,37609694968,100000008,931.45,812884,98731103
3837,37610492427,100000008,963.57,812928,98730997
3837,37610277340,100000004,995.69,812928,98731043
3837,37610144707,100000004,1027.81,812914,98731058
3837,37610361845,100000020,1059.92,812869,98731180
3839,37610067369,100000004,1092.05,812134,98731823
3840,37609921564,100000008,1124.16,811459,98732521
3840,37609699305,100000004,1156.28,812928,98731030
3841,37610571517,100000004,1188.40,812928,98731000
3843,37610549876,100000012,1220.52,812928,98731078
3842,37610171240,100000004,1252.64,812888,98731086
3842,37610371976,100000008,1284.76,812854,98731149
3842,37609776856,100000016,1316.88,811498,98732490
3841,37609814541,100000004,1349.00,812136,98731842
3841,37609922357,100000004,1381.11,812928,98731005
3841,37610646141,100000008,1413.23,812928,98731019
3841,37610343265,100000004,1445.34,812923,98731061
3840,37610264497,100000004,1477.46,812878,98731135
3841,37610279161,100000008,1509.58,812755,98731237
3841,37609851082,100000004,1541.70,810940,98733017
3841,37609714697,100000004,1573.82,812808,98731169
3842,37610456326,100000004,1605.94,812928,98731005
3842,37610319476,100000004,1638.06,812928,98731036
3841,37610104017,100000004,1670.18,812916,98731050
3841,37610390076,100000008,1702.29,812870,98731157
3841,37610097303,100000008,1734.42,812229,98731754
3841,37609932968,100000004,1766.53,811361,98732615
3842,37609666902,100000004,1798.65,812928,98731030
3847,37610605554,100000004,1830.77,812928,98731005
3846,37610459680,100000004,1862.89,812928,98731065
3849,37610188922,100000004,1895.01,812898,98731072
3848,37610323903,100000016,1927.12,812853,98731162
3848,37609888493,100000004,1959.24,811583,98732395
3848,37609793565,100000004,1991.36,812042,98731926
3849,37609892516,100000004,2023.47,812928,98731018
3848,37610603091,100000008,2055.60,812928,98731009
3849,37610459186,100000004,2087.71,812928,98731061
3848,37610286473,100000008,2119.84,812873,98731143
3848,37610067385,100000008,2151.95,812806,98731182
3848,37610022583,100000004,2184.07,810991,98732973
3851,37609856205,100000004,2216.19,812706,98731271
3852,37610201012,100000008,2248.30,812928,98731009
3853,37610465189,100000004,2280.43,812928,98731036
3853,37610047052,100000004,2312.55,812920,98731043
3852,37610300426,100000012,2344.66,812871,98731162
3852,37610250815,100000004,2376.78,812298,98731677
3853,37609901555,100000008,2408.90,811287,98732702
3852,37609651189,100000004,2441.02,812928,98731023
3852,37610663308,100000004,2473.13,812928,98730996
3852,37610304924,100000004,2505.25,812928,98731072
3852,37610366092,100000004,2537.37,812898,98731072
3852,37610196660,100000004,2569.49,812854,98731154
3853,37609873850,100000004,2601.61,811663,98732308
3853,37609884301,100000004,2633.72,811961,98732011
3853,37609886675,100000004,2665.84,812928,98731021
3853,37610484645,100000008,2697.96,812928,98731003
3852,37610598786,100000004,2730.08,812928,98731068
3852,37610228089,100000004,2762.19,812873,98731135
3853,37610127930,100000004,2794.32,812839,98731142
3851,37610029203,100000008,2826.44,811047,98732924
3850,37609795014,100000012,2858.55,812617,98731363
3852,37610125057,100000008,2890.67,812928,98731017
3853,37610451614,100000012,2922.79,812928,98731044
3852,37610111351,100000004,2954.91,812920,98731040
3851,37610235520,100000004,2987.02,812875,98731147
3852,37610321972,100000024,3019.14,812359,98731638
3852,37609961034,100000004,3051.26,811222,98732753
3852,37609692410,100000012,3083.37,812928,98731047
3852,37610587767,100000004,3115.49,812928,98730991
3852,37610323082,100000004,3147.61,812928,98731071
3852,37610321675,100000006,3179.73,812898,98731067
3853,37610223639,100000002,3211.85,812857,98731160
3852,37609889678,100000012,3243.97,811723,98732256
3853,37609865094,100000004,3276.09,811898,98732068
3852,37609866488,100000004,3308.20,812928,98731024
3852,37610557573,100000008,3340.33,812928,98731007
3853,37610545587,100000016,3372.44,812928,98731074
3850,37610179716,100000004,3404.56,812879,98731135
3852,37610138930,100000012,3436.68,812845,98731137
3853,37610027523,100000004,3468.80,811123,98732849
3852,37609815577,100000004,3500.92,812529,98731432
3852,37610070559,100000002,3533.04,812928,98731021
3852,37610602315,100000006,3565.15,812928,98731033
3854,37610114925,100000004,3597.27,812920,98731045
3859,37610311105,100000008,3629.39,812876,98731141
3859,37610157485,100000016,3661.51,812429,98731572
3859,37609936345,100000004,3693.62,811151,98732823
3859,37609706956,100000006,3725.74,812928,98731044
3859,37610593198,100000002,3757.86,812928,98730983
3860,37610326606,100000004,3789.98,812928,98731071
3859,37610267457,100000008,3822.10,812901,98731057
3859,37610216451,100000004,3854.22,812866,98731161
3860,37609909782,100000008,3886.33,811806,98732169
3859,37609869086,100000008,3918.45,811803,98732171
3859,37609826255,100000004,3950.57,812928,98731015
3859,37610597982,100000004,3982.68,812928,98731003
3859,37610572001,100000004,4014.81,812928,98731071
3964,37610175466,100000012,4046.93,812882,98731131
3864,37610194370,100000008,4079.05,812845,98731134
3860,37609898675,100000004,4111.17,811205,98732775
3860,37609927099,100000008,4143.29,812444,98731518
3860,37610090473,100000012,4175.40,812928,98731034
3860,37610533159,100000008,4207.52,812928,98731028
3859,37610161272,100000008,4239.64,812920,98731051
3860,37610260860,100000004,4271.76,812876,98731136
3859,37610149173,100000004,4303.88,812495,98731498
3859,37610031239,100000004,4335.99,811085,98732893
3859,37609660394,100000004,4368.11,812928,98731037
3859,37610622081,100000004,4400.23,812928,98730989
3862,37610235507,100000004,4432.35,812928,98731067
3863,37610142820,100000004,4464.47,812907,98731049
3863,37610374489,100000012,4496.59,812864,98731160
3862,37609918741,100000004,4528.70,811906,98732059
3863,37609929122,100000012,4560.83,811699,98732294
3863,37609774971,100000004,4592.94,812928,98731017
3863,37610562579,100000020,4625.06,812928,98731024
3863,37610625216,100000004,4657.17,812928,98731069
3866,37610175842,100000004,4689.29,812883,98731105
3863,37610323975,100000004,4721.42,812847,98731140
3862,37609795377,100000012,4753.54,811274,98732714
3863,37609820822,100000008,4785.65,812372,98731592
3863,37610078872,100000008,4817.77,812928,98731021
3863,37610626082,100000004,4849.89,812928,98731018
3861,37610103005,100000004,4882.01,812923,98731057
3862,37610291310,100000004,4914.12,812873,98731136
3863,37610277612,100000004,4946.25,812564,98731428
3863,37609942075,100000004,4978.36,811016,98732962
3862,37609623823,100000008,5010.48,812928,98731041
3862,37610573307,100000004,5042.60,812928,98730990
3863,37610256797,100000004,5074.71,812928,98731065
3862,37610148843,100000004,5106.84,812914,98731043
3862,37610396341,100000008,5138.95,812862,98731167
3863,37609997510,100000012,5171.07,811991,98731977
3863,37609900734,100000004,5203.19,811609,98732374
3864,37609728262,100000008,5235.30,812928,98731029
3863,37610509304,100000004,5267.42,812928,98731005
3864,37610643299,100000004,5299.55,812928,98731069
3860,37610207191,100000008,5331.66,812883,98731099
3861,37610373858,100000008,5363.78,812850,98731146
3863,37609655631,100000004,5395.90,811348,98732625
3862,37609823929,100000012,5428.02,812295,98731685
3863,37610161449,100000016,5460.14,812928,98731019
3865,37610584075,100000004,5492.25,812928,98731017
3862,37610235178,100000004,5524.37,812923,98731061
3862,37610140249,100000016,5556.48,812878,98731149
3862,37610263044,100000004,5588.61,812625,98731364
3862,37610000693,100000012,5620.72,810950,98733029
3862,37609690235,100000004,5652.84,812928,98731044
3862,37610459971,100000004,5684.96,812928,98730994
3872,37610367567,100000012,5717.08,812928,98731059
3863,37610156762,100000004,5749.20,812914,98731060
3860,37610387988,100000008,5781.32,812867,98731159
3862,37609931615,100000004,5813.43,812079,98731879
3863,37609962054,100000004,5845.55,811516,98732458
3862,37609730489,100000004,5877.67,812928,98731032
3863,37610469358,100000004,5909.79,812928,98731001
3862,37610637322,100000004,5941.90,812928,98731070
3864,37610201961,100000008,5974.02,812886,98731098
3863,37610360521,100000008,6006.14,812850,98731148
3863,37609748950,100000004,6038.26,811424,98732548
3862,37609830472,100000004,6070.38,812216,98731764
3863,37609991719,100000008,6102.50,812928,98731006
3862,37610630386,100000004,6134.61,812928,98731018
3863,37610358488,100000012,6166.74,812923,98731070
3862,37610152693,100000012,6198.85,812878,98731140
3864,37610262942,100000016,6230.97,812696,98731309
3863,37609914245,100000008,6263.08,810938,98733022
3863,37609734392,100000004,6295.20,812869,98731115
3864,37610444107,100000008,6327.32,812928,98730998
3863,37610288481,100000010,6359.44,812928,98731052
3862,37610174067,100000002,6391.56,812914,98731052
3864,37610382337,100000004,6423.67,812869,98731165
3862,37610056680,100000012,6455.79,812163,98731801
3863,37609914438,100000004,6487.91,811430,98732548
3864,37609703589,100000004,6520.02,812928,98731032
3863,37610562729,100000004,6552.14,812928,98731000
3862,37610547199,100000004,6584.27,812928,98731070
3863,37610150928,100000008,6616.39,812890,98731085
3863,37610406264,100000008,6648.50,812853,98731153
3863,37609758345,100000012,6680.62,811517,98732467
3863,37609814824,100000004,6712.73,812116,98731860
3863,37609924497,100000004,6744.86,812928,98731007
3863,37610628565,100000008,6776.97,812928,98731016
3862,37610343815,100000004,6809.09,812925,98731062
3863,37610270102,100000004,6841.21,812876,98731133
3862,37610253199,100000008,6873.33,812768,98731226
3862,37609908779,100000008,6905.45,810941,98733020
3863,37609706021,100000012,6937.57,812794,98731193
3862,37610414844,100000008,6969.68,812928,98731009
3862,37610338286,100000004,7001.80,812928,98731035
3862,37610125924,100000008,7033.92,812916,98731054
3861,37610388366,100000004,7066.04,812871,98731152
3861,37610113624,100000004,7098.15,812256,98731724
3860,37609874926,100000008,7130.27,811333,98732647
3860,37609695306,100000008,7162.39,812928,98731031
3866,37610625546,100000012,7194.51,812928,98731015
3867,37610437101,100000008,7226.63,812928,98731065
3867,37610207986,100000004,7258.75,812898,98731074
3868,37610308309,100000004,7290.87,812854,98731151
3868,37609908763,100000004,7322.98,811607,98732369
3868,37609818536,100000004,7355.11,812017,98731953
3868,37609855071,100000004,7387.23,812928,98731018
3868,37610628498,100000004,7419.34,812928,98731001
3868,37610424989,100000004,7451.46,812928,98731065
3869,37610288842,100000004,7483.58,812873,98731134
3868,37610116551,100000004,7515.70,812812,98731172
3868,37610021368,100000004,7547.82,811005,98732965
3869,37609789236,100000012,7579.94,812686,98731297
3869,37610186317,100000012,7612.06,812928,98731014
3970,37610495104,100000016,7644.18,812928,98731046
3870,37610045089,100000012,7676.29,812920,98731052
3873,37610302582,100000004,7708.42,812873,98731153
3870,37610255312,100000004,7740.53,812307,98731667
3869,37609922668,100000004,7772.65,811276,98732711
3868,37609701256,100000004,7804.77,812928,98731022
3868,37610619277,100000004,7836.88,812928,98730991
3868,37610288217,100000008,7869.00,812928,98731081
3869,37610358423,100000008,7901.13,812898,98731076
3869,37610237870,100000004,7933.24,812855,98731154
3868,37609845806,100000002,7965.36,811676,98732293
3868,37609885649,100000002,7997.48,811947,98732022
3868,37609918339,100000008,8029.60,812928,98731025
3868,37610453527,100000004,8061.71,812928,98731000
3868,37610584060,100000004,8093.83,812928,98731066
3869,37610237836,100000004,8125.95,812873,98731136
3868,37610133339,100000004,8158.07,812844,98731137
3868,37610000284,100000004,8190.18,811071,98732895
3869,37609800463,100000006,8222.30,812588,98731383
