latency(lag),total size,packet,time_stamp,err_count,success_count
3796,37611023690,100000008,32.13,725040,98818920
3801,37610357068,100000008,64.25,726120,98817915
3811,37610008447,100000004,96.37,726624,98817330
3815,37609952602,100000004,128.49,726624,98817352
3823,37609660378,100000004,160.61,726624,98817334
3824,37610603419,100000004,192.73,726554,98817374
3824,37610553754,100000008,224.84,726175,98817831
3830,37610185626,100000004,256.97,725118,98818855
3832,37610342388,100000004,289.09,726561,98817437
3834,37609786196,100000004,321.21,726624,98817350
3835,37609789900,100000004,353.32,726624,98817354
3834,37609977952,100000008,385.44,726602,98817335
3833,37610641898,100000004,417.57,726540,98817403
3832,37610360251,100000004,449.68,725724,98818260
3838,37610215478,100000008,481.80,725542,98818476
3840,37610261788,100000004,513.93,726624,98817365
3840,37609860770,100000004,546.04,726624,98817332
3843,37609759646,100000004,578.16,726624,98817354
3843,37610440688,100000008,610.28,726565,98817370
3843,37610319224,100000008,642.40,726533,98817437
3843,37610108248,100000008,674.51,725240,98818733
3843,37610381335,100000004,706.63,726070,98817949
3843,37610110141,100000016,738.76,726624,98817367
3843,37609903334,100000004,770.88,726624,98817353
3947,37609674547,100000008,802.99,726624,98817339
3845,37610585969,100000004,835.12,726554,98817376
3849,37610514621,100000004,867.24,726233,98817760
3844,37610198796,100000008,899.36,725140,98818836
3850,37610321455,100000012,931.47,726481,98817528
3850,37609829760,100000004,963.60,726624,98817356
3850,37609817166,100000004,995.71,726624,98817344
3851,37609908108,100000020,1027.84,726604,98817356
3850,37610621337,100000004,1059.95,726547,98817390
3851,37610312305,100000004,1092.08,725773,98818212
3854,37610383221,100000004,1124.19,725484,98818528
3854,37610097581,100000012,1156.32,726624,98817371
3855,37610015730,100000004,1188.43,726624,98817337
3855,37609805657,100000008,1220.55,726624,98817358
3855,37610266807,100000008,1252.67,726572,98817366
3855,37610466788,100000004,1284.79,726531,98817432
3855,37610003026,100000012,1316.91,725290,98818680
3855,37610346139,100000004,1349.03,726015,98818012
3856,37610240521,100000016,1381.15,726624,98817365
3855,37609899584,100000004,1413.26,726624,98817357
3856,37609627230,100000004,1445.39,726624,98817330
3855,37610571259,100000004,1477.51,726554,98817367
3854,37610447508,100000008,1509.63,726308,98817697
3855,37610333735,100000008,1541.74,725113,98818860
3856,37610229452,100000008,1573.86,726433,98817579
3855,37609861625,100000008,1605.98,726624,98817354
3858,37609886911,100000004,1638.11,726624,98817345
3860,37609893921,100000004,1670.23,726606,98817346
3858,37610497788,100000012,1702.35,726558,98817374
3855,37610565245,100000004,1734.46,725820,98818176
3855,37610236938,100000004,1766.59,725424,98818585
3855,37610119936,100000008,1798.70,726624,98817362
3861,37610029421,100000008,1830.82,726624,98817346
3863,37609813702,100000004,1862.95,726624,98817351
3862,37610097372,100000004,1895.06,726575,98817365
3862,37610469669,100000004,1927.18,726537,98817424
3861,37610099808,100000004,1959.30,725362,98818598
3861,37610242313,100000004,1991.42,725934,98818088
3862,37610334411,100000012,2023.54,726624,98817362
3863,37609906653,100000004,2055.66,726624,98817358
3862,37609741534,100000008,2087.78,726624,98817339
3862,37610567700,100000004,2119.89,726554,98817366
3862,37610280141,100000004,2152.02,726359,98817644
3861,37610353414,100000008,2184.14,725120,98818847
3863,37610253294,100000008,2216.26,726375,98817643
3865,37609859818,100000008,2248.37,726624,98817354
3865,37609877844,100000004,2280.50,726624,98817340
3865,37609893127,100000008,2312.61,726606,98817354
3866,37610496381,100000004,2344.73,726562,98817364
3866,37610567781,100000012,2376.85,725885,98818114
3866,37610202474,100000004,2408.97,725355,98818658
3866,37610135959,100000008,2441.09,726624,98817355
3866,37610034435,100000004,2473.21,726624,98817348
3866,37609753550,100000008,2505.33,726624,98817343
3866,37610114292,100000008,2537.44,726579,98817375
3866,37610585900,100000008,2569.57,726535,98817427
3866,37610116316,100000004,2601.69,725431,98818534
3866,37610328559,100000008,2633.81,725863,98818157
3866,37610147877,100000004,2665.92,726624,98817363
3866,37609945371,100000004,2698.04,726624,98817349
3866,37609692828,100000016,2730.16,726624,98817358
3865,37610607729,100000004,2762.28,726554,98817360
3864,37610323120,100000004,2794.40,726406,98817592
3866,37610291118,100000004,2826.52,725126,98818827
3866,37610193579,100000012,2858.64,726322,98817716
3866,37609903282,100000004,2890.75,726624,98817346
3866,37609894696,100000008,2922.87,726624,98817348
3866,37609838844,100000008,2954.99,726614,98817335
3867,37610579947,100000008,2987.11,726554,98817380
3868,37610580075,100000004,3019.23,725947,98818051
3867,37610109091,100000004,3051.36,725293,98818713
3866,37610234649,100000004,3083.48,726624,98817350
3866,37609919562,100000004,3115.60,726624,98817360
3865,37609899558,100000004,3147.71,726624,98817330
3866,37610131428,100000008,3179.83,726580,98817379
3867,37610495965,100000004,3211.96,726538,98817419
3865,37610124925,100000004,3244.07,725494,98818470
3866,37610320408,100000001,3276.19,725796,98818211
3866,37610148953,100000007,3308.31,726624,98817373
3865,37609960023,100000004,3340.43,726624,98817352
3865,37609709484,100000008,3372.55,726624,98817349
3865,37610635276,100000008,3404.66,726554,98817364
3866,37610249687,100000004,3436.79,726467,98817530
3866,37610116924,100000004,3468.91,725107,98818847
3867,37610367035,100000004,3501.02,726280,98817739
3866,37609885033,100000008,3533.15,726624,98817341
3865,37609944126,100000004,3565.27,726624,98817361
3864,37609796421,100000004,3597.38,726617,98817329
3868,37610588022,100000008,3629.50,726552,98817387
3871,37610567761,100000004,3661.62,726007,98817990
3873,37610179436,100000004,3693.74,725232,98818762
3873,37610348406,100000012,3725.86,726624,98817365
3873,37609789177,100000004,3757.98,726624,98817360
3873,37609833087,100000008,3790.10,726624,98817341
3873,37610108833,100000004,3822.22,726585,98817355
3873,37610542378,100000004,3854.34,726537,98817411
3872,37610158698,100000012,3886.45,725574,98818416
3873,37610285230,100000004,3918.58,725712,98818298
3873,37610211929,100000004,3950.70,726624,98817368
3873,37609957141,100000004,3982.81,726624,98817350
3872,37609680012,100000008,4014.93,726624,98817346
3871,37610589288,100000008,4047.05,726554,98817371
3872,37610258764,100000004,4079.17,726522,98817470
3873,37610097816,100000004,4111.29,725111,98818843
3873,37610442953,100000004,4143.41,726221,98817804
3873,37609982052,100000008,4175.53,726624,98817342
3873,37609887779,100000002,4207.65,726624,98817355
3873,37609756558,100000010,4239.76,726617,98817342
3872,37610481939,100000004,4271.89,726557,98817377
3873,37610652701,100000008,4304.01,726066,98817934
3873,37610234078,100000004,4336.13,725168,98818809
3873,37610331097,100000008,4368.24,726624,98817374
3968,37609714163,100000004,4400.37,726624,98817351
3880,37609814354,100000004,4432.49,726624,98817344
3879,37610076777,100000012,4464.60,726592,98817354
3875,37610646806,100000004,4496.73,726533,98817412
3875,37610233126,100000004,4528.84,725629,98818354
3877,37610140057,100000004,4560.96,725654,98818360
3876,37610250703,100000004,4593.08,726624,98817368
3876,37609970880,100000004,4625.20,726624,98817351
3876,37609707924,100000008,4657.32,726624,98817347
3876,37610527333,100000008,4689.44,726560,98817365
3875,37610311361,100000004,4721.55,726528,98817455
3874,37610143751,100000004,4753.68,725154,98818815
3874,37610370060,100000004,4785.79,726166,98817856
3876,37609959343,100000008,4817.92,726624,98817340
3876,37609948046,100000004,4850.03,726624,98817349
3876,37609678719,100000012,4882.16,726624,98817347
3876,37610538841,100000004,4914.28,726554,98817377
3875,37610561793,100000004,4946.39,726133,98817860
3876,37610271739,100000012,4978.51,725117,98818870
3876,37610384389,100000008,5010.64,726604,98817394
3876,37609699802,100000004,5042.75,726624,98817347
3877,37609815366,100000004,5074.87,726624,98817356
3875,37610062532,100000008,5106.98,726598,98817336
3875,37610587352,100000004,5139.11,726541,98817407
3876,37610375977,100000016,5171.22,725674,98818323
3875,37610129090,100000008,5203.34,725595,98818422
3874,37610264547,100000004,5235.47,726624,98817364
3874,37609965137,100000004,5267.58,726624,98817337
3875,37609686384,100000004,5299.70,726624,98817359
3876,37610498776,100000004,5331.83,726563,98817358
3877,37610272591,100000004,5363.94,726532,98817439
3875,37610143283,100000008,5396.06,725204,98818773
3876,37610365717,100000004,5428.18,726109,98817923
3876,37610060956,100000016,5460.30,726624,98817345
3876,37609923810,100000008,5492.42,726624,98817356
3876,37609694734,100000008,5524.53,726624,98817338
3876,37610584709,100000004,5556.65,726554,98817374
3876,37610538712,100000004,5588.77,726189,98817809
3876,37610173733,100000008,5620.89,725118,98818860
3876,37610372707,100000008,5653.01,726547,98817456
3876,37609773245,100000004,5685.13,726624,98817352
3876,37609813439,100000012,5717.25,726624,98817362
3876,37609933366,100000004,5749.37,726602,98817331
3876,37610643799,100000004,5781.49,726543,98817400
3876,37610342160,100000004,5813.61,725732,98818252
3876,37610259516,100000012,5845.73,725531,98818491
3875,37610281399,100000008,5877.85,726624,98817367
3876,37609839561,100000001,5909.97,726624,98817330
3875,37609726035,100000003,5942.09,726624,98817352
3874,37610462782,100000004,5974.21,726565,98817368
